,"[0, 0, 1]","[0, 1, 0]","[0, 1, 1]","[1, 0, 0]","[1, 0, 1]","[1, 1, 0]","[1, 1, 1]"
"[0, 0, 0]",194147985366,292488291240,338817465059,437722976697,305626625468,425559052194,142790760277
"[0, 0, 1]",0,51147223114,23017735427,411349106955,49977911039,180787348752,3686137704
"[0, 1, 0]",0,0,189840441538,194595790254,178871029284,348795667136,73678953553
"[0, 1, 1]",0,0,0,189071233820,186860410973,11589718498,487304991
"[1, 0, 0]",0,0,0,0,190381446952,388562374099,49453405898
"[1, 0, 1]",0,0,0,0,0,352051700536,92832349395
"[1, 1, 0]",0,0,0,0,0,0,177747917849
