,"[0, 0, 1]","[0, 1, 0]","[0, 1, 1]","[1, 0, 0]","[1, 0, 1]","[1, 1, 0]","[1, 1, 1]"
"[0, 0, 0]",223769288428,310812078605,353542215724,440020900163,319890671603,434645145159,213830586586
"[0, 0, 1]",0,54463857052,16065764246,438986889600,30188708774,210540553190,4137142350
"[0, 1, 0]",0,0,213387282297,245574911646,214279391504,403633528225,110718632313
"[0, 1, 1]",0,0,0,213049478980,184884790871,855808740,2200022
"[1, 0, 0]",0,0,0,0,213760186147,420567201277,77580793467
"[1, 0, 1]",0,0,0,0,0,379416780368,121326040907
"[1, 1, 0]",0,0,0,0,0,0,207438421483
