,"[0, 0, 1]","[0, 1, 0]","[0, 1, 1]","[1, 0, 0]","[1, 0, 1]","[1, 1, 0]","[1, 1, 1]"
"[0, 0, 0]",177846819160,93156752658,49476406125,517005276,73770154613,3715838032,143657369470
"[0, 0, 1]",0,352634806460,388191570055,11524817823,348096160199,179852239537,425550252103
"[0, 1, 0]",0,0,190093444202,186417006544,178873129460,49709508447,305657525952
"[0, 1, 1]",0,0,0,190491948077,194244986548,411565809104,437808777524
"[1, 0, 0]",0,0,0,0,189460837712,22924234381,338693063684
"[1, 0, 1]",0,0,0,0,0,51170323379,292929295691
"[1, 1, 0]",0,0,0,0,0,0,194309787278
