,"[0, 0, 1]","[0, 1, 0]","[0, 1, 1]","[1, 0, 0]","[1, 0, 1]","[1, 1, 0]","[1, 1, 1]"
"[0, 0, 0]",207638523590,122187449709,77723694867,5500056,110636031498,4281243767,213650085341
"[0, 0, 1]",0,379919485364,420323998747,841508603,403620427906,209904446773,434752946242
"[0, 1, 0]",0,0,214078089319,184791189793,215380502627,30071107378,319880671551
"[0, 1, 1]",0,0,0,214282791405,245613311830,438950589236,440024200194
"[1, 0, 0]",0,0,0,0,213528083838,15769761209,353927119577
"[1, 0, 1]",0,0,0,0,0,54846660939,311422684930
"[1, 1, 0]",0,0,0,0,0,0,223641587188
