,"[0, 0, 1]","[0, 1, 0]","[0, 1, 1]","[1, 0, 0]","[1, 0, 1]","[1, 1, 0]","[1, 1, 1]"
"[0, 0, 0]",68033795715,54383556343,51734729057,1788618268,60631820160,10753710015,153580470494
"[0, 0, 1]",0,36246570667,28819294759,17154675463,41954529003,79389011952,10792210434
"[0, 1, 0]",0,0,60094714501,59015803443,82284441497,41523424658,60692120736
"[0, 1, 1]",0,0,0,60465418344,58923202720,16873072639,1732517726
"[1, 0, 0]",0,0,0,0,60186315577,28541991761,51882130659
"[1, 0, 1]",0,0,0,0,0,36806576326,54266955155
"[1, 1, 0]",0,0,0,0,0,0,67970895114
